Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)",Symbol.NS
360ONE,360 ONE WAM LIMITED (XNSE:360ONE),1533603.07,360ONE.NS
KEI,KEI INDUSTRIES LIMITED (XNSE:KEI),1532053.85,KEI.NS
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1529251.88,JBCHEPHARM.NS
LALPATHLAB,Dr. Lal Path Labs Ltd.,1524048.16,LALPATHLAB.NS
JSL,JINDAL STAINLESS LIMITED (XNSE:JSL),1522885.87,JSL.NS
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED (XNSE:IRB),1518808.5,IRB.NS
EXIDEIND,EXIDE INDUSTRIES LIMITED (XNSE:EXIDEIND),1512575,EXIDEIND.NS
GSPL,GUJARAT STATE PETRONET LIMITED (XNSE:GSPL),1495160.15,GSPL.NS
BLUEDART,BLUE DART EXPRESS LIMITED (XNSE:BLUEDART),1474204.68,BLUEDART.NS
NATIONALUM,National Aluminium Company Limited,1439919.32,NATIONALUM.NS
RVNL,RAIL VIKAS NIGAM LIMITED (XBOM:542649),1430323.79,RVNL.NS
CREDITACC,CREDITACCESS GRAMEEN LIMITED (XNSE:CREDITACC),1429656.39,CREDITACC.NS
TRIDENT,TRIDENT LIMITED (XNSE:TRIDENT),1424319.61,TRIDENT.NS
POWERINDIA,HITACHI ENERGY INDIA LIMITED (XNSE:POWERINDIA),1416988.92,POWERINDIA.NS
MEDANTA,GLOBAL HEALTH LIMITED (XNSE:MEDANTA),1413200.24,MEDANTA.NS
GILLETTE,GILLETTE INDIA LIMITED (XBOM:507815),1406410.55,GILLETTE.NS
RATNAMANI,RATNAMANI METALS AND TUBES LIMITED (XBOM:520111),1389118.3,RATNAMANI.NS
